Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,F2,PR-AUC,FPR,TT (Sec)
Decision Tree Classifier,0.969,0.974,0.9635,0.9743,0.9688,0.9381,0.9382,0.9688,0.978,0.0254,18.906
Light Gradient Boosting Machine,0.9669,0.9919,0.9438,0.9895,0.9661,0.9337,0.9347,0.9661,0.9807,0.01,57.389
Gradient Boosting Classifier,0.9651,0.9863,0.94,0.9898,0.9642,0.9303,0.9315,0.9642,0.9799,0.0097,374.541
Ada Boost Classifier,0.9538,0.9794,0.9374,0.9691,0.953,0.9075,0.908,0.953,0.9689,0.0299,78.416
Logistic Regression,0.9438,0.962,0.9326,0.954,0.9432,0.8876,0.8879,0.9432,0.9602,0.0449,18.126
SVM - Linear Kernel,0.9117,0.956,0.8725,0.9468,0.9081,0.8234,0.826,0.9081,0.9415,0.049,4.589
Quadratic Discriminant Analysis,0.8915,0.9498,0.9263,0.8662,0.8952,0.7829,0.7849,0.8952,0.9147,0.1434,9.766
Ridge Classifier,0.8881,0.9522,0.8565,0.9143,0.8845,0.7762,0.7778,0.8845,0.9213,0.0803,2.301
Linear Discriminant Analysis,0.8862,0.9479,0.8594,0.9081,0.883,0.7724,0.7735,0.883,0.9189,0.087,5.061
Naive Bayes,0.8137,0.898,0.8602,0.787,0.8219,0.6273,0.6301,0.8219,0.8585,0.2329,2.635
Dummy Classifier,0.5,0.5,0.4,0.2,0.2667,0.0,0.0,0.2667,0.75,0.4,2.012
